Scenario,Strategy,ReserveSize,Iteration,AvDensity,LogRatCorals,WVTraitSp1,WVTraitSp2,Ext1,Ext2,ExtBoth,V,D
3,4,0,1,0.140751013,-9.862075354,1.021420446,1.021392745,1,NA,NA,0.4,0
3,4,0.1,1,0.185939713,-9.862075354,1.027835204,1.027815826,1,NA,NA,0.4,0
3,4,0.2,1,0.232905165,-9.862075354,1.024984174,1.024968871,1,NA,NA,0.4,0
3,4,0.3,1,0.280011399,-9.862075354,1.027624676,1.027612493,1,NA,NA,0.4,0
3,4,0.5,1,0.395486776,-9.862075354,1.017819301,1.01781117,1,NA,NA,0.4,0
3,5,0,1,0.140751013,-0.387706092,1.021420446,1.021392745,1,NA,NA,0.4,0
3,5,0.1,1,0.226796468,-0.387706092,1.094622364,1.021140171,1,NA,NA,0.4,0
3,5,0.2,1,0.311663803,-0.387706092,1.148214875,1.020993597,1,NA,NA,0.4,0
3,5,0.3,1,0.391474101,-0.387706092,1.148043706,1.018619487,1,NA,NA,0.4,0
3,5,0.5,1,0.520427387,-0.387706092,1.120598617,1.026391782,1,NA,NA,0.4,0
3,6,0,1,0.140751013,-1.330009597,1.021420446,1.021392745,1,NA,NA,0.4,0
3,6,0.1,1,0.202697036,-1.330009597,1.033656862,1.023926308,1,NA,NA,0.4,0
3,6,0.2,1,0.264742958,-1.330009597,1.061929144,1.025218352,1,NA,NA,0.4,0
3,6,0.3,1,0.325564185,-1.330009597,1.062405055,1.026580792,1,NA,NA,0.4,0
3,6,0.5,1,0.461912679,-1.330009597,1.074428908,1.021816252,1,NA,NA,0.4,0
3,7,0,1,0.140751013,-0.496902627,1.021420446,1.021392745,1,NA,NA,0.4,0
3,7,0.1,1,0.226072598,-0.496902627,1.110060708,1.021127386,1,NA,NA,0.4,0
3,7,0.2,1,0.296638529,-0.496902627,1.111213738,1.028548997,1,NA,NA,0.4,0
3,7,0.3,1,0.367367051,-0.496902627,1.113401809,1.027610082,1,NA,NA,0.4,0
3,7,0.5,1,0.480851632,-0.496902627,1.118871041,1.028738883,1,NA,NA,0.4,0
3,8,0,1,0.140751013,-0.35044962,1.021420446,1.021392745,1,NA,NA,0.4,0
3,8,0.1,1,0.226109367,-0.35044962,1.118388192,1.021240872,1,NA,NA,0.4,0
3,8,0.2,1,0.311423665,-0.35044962,1.149205897,1.02100551,1,NA,NA,0.4,0
3,8,0.3,1,0.391474101,-0.35044962,1.148043706,1.018619487,1,NA,NA,0.4,0
3,8,0.5,1,0.509103093,-0.35044962,1.124777476,1.029931996,1,NA,NA,0.4,0
3,9,0,1,0.140751013,-0.737511073,1.021420446,1.021392745,1,NA,NA,0.4,0
3,9,0.1,1,0.198063071,-0.737511073,1.043621452,1.026462287,1,NA,NA,0.4,0
3,9,0.2,1,0.271830195,-0.737511073,1.090572498,1.027919346,1,NA,NA,0.4,0
3,9,0.3,1,0.339288722,-0.737511073,1.073337351,1.026727543,1,NA,NA,0.4,0
3,9,0.5,1,0.470544878,-0.737511073,1.100957493,1.020275616,1,NA,NA,0.4,0
4,1,0,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,1,0.1,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,1,0.2,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,1,0.3,1,2.01E-06,0.000298147,-3.356741716,-2.71952845,1,326,326,0,0.001
4,1,0.5,1,2.01E-06,0.000298147,-3.35674285,-2.719530339,1,326,326,0,0.001
