Scenario,c.V,c.D,c.w,c.Rmax,c.m,s.V,s.D,s.w,s.Rmax,s.m,m.V,m.D,m.w,m.Rmax,m.m,iter
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,10
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,10
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,11
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,11
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,11
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,11
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,11
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,11
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,11
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,11
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,11
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,12
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,12
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,12
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,12
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,12
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,12
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,12
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,12
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,12
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,13
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,13
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,13
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,13
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,13
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,13
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,13
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,13
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,13
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,14
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,14
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,14
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,14
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,14
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,14
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,14
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,14
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,14
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,15
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,15
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,15
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,15
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,15
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,15
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,15
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,15
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,15
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,16
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,16
